ci_high,ci_low,cluster_count,cluster_unit,denominator,domain,failure_category,metric,numerator,rate,scope,triggering_event_type,writer
0.42632543400385775,0.25,28,domain_case_family,428,,,error_introduction_probability,143,0.3341121495327103,pooled,,
0.8967220167382377,0.8731177794812285,22,domain_case_family,562,,,error_persistence_probability,497,0.8843416370106761,pooled,,
0.20371980676328494,0.09755110101708304,12,domain_case_family,243,procurement,,error_introduction_probability,37,0.1522633744855967,domain,,
1.0,1.0,6,domain_case_family,27,procurement,,error_persistence_probability,27,1.0,domain,,
0.6207049581718016,0.529695690157251,16,domain_case_family,185,cybersecurity,,error_introduction_probability,106,0.572972972972973,domain,,
0.8878842676311031,0.8671696592118108,16,domain_case_family,535,cybersecurity,,error_persistence_probability,470,0.8785046728971962,domain,,
0.3619047619047619,0.22764227642276422,28,domain_case_family,109,,,error_introduction_probability,32,0.29357798165137616,writer,,Nemotron 3 Ultra
0.86,0.7741839477726574,18,domain_case_family,89,,,error_persistence_probability,73,0.8202247191011236,writer,,Nemotron 3 Ultra
0.42862103174603144,0.2413793103448276,28,domain_case_family,80,,,error_introduction_probability,26,0.325,writer,,Grok 4.3
0.896551724137931,0.8582677165354331,19,domain_case_family,118,,,error_persistence_probability,103,0.8728813559322034,writer,,Grok 4.3
0.3888888888888889,0.25263157894736843,28,domain_case_family,85,,,error_introduction_probability,27,0.3176470588235294,writer,,Kimi K2.6
0.8738738738738738,0.8125,20,domain_case_family,113,,,error_persistence_probability,96,0.8495575221238938,writer,,Kimi K2.6
0.5584805194805192,0.27776402640264025,28,domain_case_family,90,,,error_introduction_probability,36,0.4,writer,,GLM 5.2
0.8623853211009175,0.839622641509434,17,domain_case_family,108,,,error_persistence_probability,92,0.8518518518518519,writer,,GLM 5.2
0.5306448111159356,0.21915840025192881,27,domain_case_family,64,,,error_introduction_probability,22,0.34375,writer,,Qwen Plus 2025-07-28
1.0,0.9761904761904762,18,domain_case_family,134,,,error_persistence_probability,133,0.9925373134328358,writer,,Qwen Plus 2025-07-28
0.24444444444444444,0.09090909090909091,12,domain_case_family,49,procurement,,error_introduction_probability,8,0.16326530612244897,domain_writer,,Nemotron 3 Ultra
1.0,1.0,2,domain_case_family,5,procurement,,error_persistence_probability,5,1.0,domain_writer,,Nemotron 3 Ultra
0.2391304347826087,0.09259259259259259,12,domain_case_family,49,procurement,,error_introduction_probability,8,0.16326530612244897,domain_writer,,Grok 4.3
1.0,1.0,3,domain_case_family,5,procurement,,error_persistence_probability,5,1.0,domain_writer,,Grok 4.3
0.3055555555555556,0.14582386363636365,12,domain_case_family,46,procurement,,error_introduction_probability,10,0.21739130434782608,domain_writer,,Kimi K2.6
1.0,1.0,4,domain_case_family,8,procurement,,error_persistence_probability,8,1.0,domain_writer,,Kimi K2.6
0.1800454545454543,0.05555555555555555,12,domain_case_family,52,procurement,,error_introduction_probability,6,0.11538461538461539,domain_writer,,GLM 5.2
,,1,domain_case_family,2,procurement,,error_persistence_probability,2,1.0,domain_writer,,GLM 5.2
0.17777777777777778,0.04081632653061224,11,domain_case_family,47,procurement,,error_introduction_probability,5,0.10638297872340426,domain_writer,,Qwen Plus 2025-07-28
1.0,1.0,2,domain_case_family,7,procurement,,error_persistence_probability,7,1.0,domain_writer,,Qwen Plus 2025-07-28
0.48148148148148145,0.34285714285714286,16,domain_case_family,60,cybersecurity,,error_introduction_probability,24,0.4,domain_writer,,Nemotron 3 Ultra
