metric,estimand,left_condition,right_condition,difference,ci_low,ci_high,bootstrap_replicates,valid_replicates,cluster_count,cluster_unit
exact_final_memory_rate,enforcement_disabled_minus_enforced,capacity_2x,capacity_nonbinding,0.05,-0.016666666666666666,0.11666666666666668,10000,10000,60,paired_writer_case_trajectory
exact_final_memory_rate,writer_visible_nonbinding_minus_enforcement_disabled,capacity_nonbinding,capacity_writer_visible_nonbinding,0.0,-0.08333333333333333,0.08333333333333333,10000,10000,60,paired_writer_case_trajectory
exact_final_memory_rate,writer_visible_nonbinding_minus_enforced,capacity_2x,capacity_writer_visible_nonbinding,0.05,-0.03333333333333333,0.13333333333333333,10000,10000,60,paired_writer_case_trajectory
final_semantic_error_rate,enforcement_disabled_minus_enforced,capacity_2x,capacity_nonbinding,0.0,-0.1333333333333333,0.1333333333333333,10000,10000,60,paired_writer_case_trajectory
final_semantic_error_rate,writer_visible_nonbinding_minus_enforcement_disabled,capacity_nonbinding,capacity_writer_visible_nonbinding,-0.016666666666666607,-0.1166666666666667,0.09999999999999998,10000,10000,60,paired_writer_case_trajectory
final_semantic_error_rate,writer_visible_nonbinding_minus_enforced,capacity_2x,capacity_writer_visible_nonbinding,-0.016666666666666607,-0.1333333333333333,0.09999999999999998,10000,10000,60,paired_writer_case_trajectory
final_authority_gaining_error_rate,enforcement_disabled_minus_enforced,capacity_2x,capacity_nonbinding,0.0,-0.10000000000000003,0.10000000000000003,10000,10000,60,paired_writer_case_trajectory
final_authority_gaining_error_rate,writer_visible_nonbinding_minus_enforcement_disabled,capacity_nonbinding,capacity_writer_visible_nonbinding,-0.06666666666666671,-0.16666666666666663,0.01666666666666672,10000,10000,60,paired_writer_case_trajectory
final_authority_gaining_error_rate,writer_visible_nonbinding_minus_enforced,capacity_2x,capacity_writer_visible_nonbinding,-0.06666666666666671,-0.16666666666666669,0.033333333333333326,10000,10000,60,paired_writer_case_trajectory
final_memory_apparent_authority_rate,enforcement_disabled_minus_enforced,capacity_2x,capacity_nonbinding,-0.016666666666666663,-0.1166666666666667,0.08333333333333331,10000,10000,60,paired_writer_case_trajectory
final_memory_apparent_authority_rate,writer_visible_nonbinding_minus_enforcement_disabled,capacity_nonbinding,capacity_writer_visible_nonbinding,-0.04999999999999999,-0.13333333333333336,0.033333333333333326,10000,10000,60,paired_writer_case_trajectory
final_memory_apparent_authority_rate,writer_visible_nonbinding_minus_enforced,capacity_2x,capacity_writer_visible_nonbinding,-0.06666666666666665,-0.15000000000000008,0.01666666666666672,10000,10000,60,paired_writer_case_trajectory
request_level_apparent_authority_formation_p_f,enforcement_disabled_minus_enforced,capacity_2x,capacity_nonbinding,-0.01666666666666672,-0.1,0.061111111111111144,10000,10000,60,paired_writer_case_trajectory
request_level_apparent_authority_formation_p_f,writer_visible_nonbinding_minus_enforcement_disabled,capacity_nonbinding,capacity_writer_visible_nonbinding,-0.03888888888888886,-0.0888888888888889,0.0111111111111111,10000,10000,60,paired_writer_case_trajectory
request_level_apparent_authority_formation_p_f,writer_visible_nonbinding_minus_enforced,capacity_2x,capacity_writer_visible_nonbinding,-0.05555555555555558,-0.12777777777777777,0.011111111111111127,10000,10000,60,paired_writer_case_trajectory
transition_error_introduction_rate,enforcement_disabled_minus_enforced,capacity_2x,capacity_nonbinding,-0.0028857811246008613,-0.03797424167587866,0.03014344849446775,10000,10000,60,paired_writer_case_trajectory
transition_error_introduction_rate,writer_visible_nonbinding_minus_enforcement_disabled,capacity_nonbinding,capacity_writer_visible_nonbinding,0.005434122120175688,-0.020083233038710565,0.033173228598559375,10000,10000,60,paired_writer_case_trajectory
transition_error_introduction_rate,writer_visible_nonbinding_minus_enforced,capacity_2x,capacity_writer_visible_nonbinding,0.002548340995574827,-0.027463254699470148,0.03303587056998007,10000,10000,60,paired_writer_case_trajectory
transition_error_persistence_rate,enforcement_disabled_minus_enforced,capacity_2x,capacity_nonbinding,0.0,0.0,0.0,10000,10000,60,paired_writer_case_trajectory
transition_error_persistence_rate,writer_visible_nonbinding_minus_enforcement_disabled,capacity_nonbinding,capacity_writer_visible_nonbinding,-0.032258064516129004,-0.12,0.0,10000,10000,60,paired_writer_case_trajectory
transition_error_persistence_rate,writer_visible_nonbinding_minus_enforced,capacity_2x,capacity_writer_visible_nonbinding,-0.032258064516129004,-0.12,0.0,10000,10000,60,paired_writer_case_trajectory
introduced_episode_self_repair_rate,enforcement_disabled_minus_enforced,capacity_2x,capacity_nonbinding,0.0,0.0,0.0,10000,10000,60,paired_writer_case_trajectory
introduced_episode_self_repair_rate,writer_visible_nonbinding_minus_enforcement_disabled,capacity_nonbinding,capacity_writer_visible_nonbinding,0.02702702702702703,0.0,0.08823529411764706,10000,10000,60,paired_writer_case_trajectory
introduced_episode_self_repair_rate,writer_visible_nonbinding_minus_enforced,capacity_2x,capacity_writer_visible_nonbinding,0.02702702702702703,0.0,0.08823529411764706,10000,10000,60,paired_writer_case_trajectory
